Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:59wlTaYOL5tDUgXnbBQ3my,"A Moment Apart","A Moment Apart","ODESZA",2017-09-08,234244,68,false,,2024-01-02T19:00:31Z,"chillwave,chillstep","Counter Records",0.406,0.665,7,-7.903,0,0.0352,0.172,0.693,0.492,0.0758,119.988,4
spotify:track:65r94rVdiMwqXyQFEr3tqT,"Resonance","Odyssey","Home",2014-07-01,212881,1,false,,2024-01-02T19:00:04Z,"vaporwave,synthwave,chillwave","Home",0.566,0.74,8,-8.614,1,0.063,0.0352,0.849,0.221,0.419,170.098,5
spotify:track:3FijoNKGof7pCn7oddecOQ,"Test & Recognise (Flume Re-work)","Test & Recognise (Remixes)","Seekae;Flume",2014-08-14,303660,60,false,,2024-01-02T18:59:52Z,"future bass","Future Classic",0.543,0.581,8,-8.532,1,0.0711,0.193,0.0000161,0.117,0.299,109.769,4
spotify:track:3q53rFJ6wnhLhm6W8VlA8P,"Meteor","Meteor","Kenya Grace",2023-05-18,171279,0,false,,2024-01-02T18:59:48Z,"","DnB Allstars",0.571,0.619,8,-6.275,0,0.0906,0.315,0.000759,0.121,0.349,166.814,4
spotify:track:5SOA0gaKMMp9cgwn3nuwk7,"Solitude - Felsmann + Tiley Reinterpretation","Solitude (Felsmann + Tiley Reinterpretation)","M83;Felsmann + Tiley",2020-05-14,222354,61,false,,2024-01-02T18:59:40Z,"","Mute",0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,4
spotify:track:7qGoMOzR9pJ1bPl4bFmTN7,"Overthinker","Overthinker","INZO",2018-07-23,268000,60,false,,2024-01-02T18:57:36Z,"future bass","broke",0.472,0.604,8,-4.437,1,0.134,0.0315,0.0292,0.101,0.212,128.375,1
spotify:track:5cqMUOZZkY7o5b5fupnxvh,"Thinking About You","Thinking About You","Galoski",2021-10-15,143765,33,false,,2023-12-30T12:22:28Z,"bass house","Future House Music",0.827,0.631,11,-6.54,0,0.0832,0.239,0.817,0.0809,0.753,122.016,4
spotify:track:3p4hRhMcb6ch8OLtATMaLw,"Cry","Cry","Cigarettes After Sex",2019-10-25,256799,61,false,,2023-12-30T00:38:32Z,"dream pop","Partisan Records",0.408,0.398,7,-10.448,1,0.0277,0.758,0.654,0.112,0.165,142.834,4
spotify:track:5oeOWXjH8NZFOWP0SpSXqV,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-03-28,231720,0,false,,2023-12-30T00:38:26Z,"indie,lo-fi indie","Universal Music Australia Pty. Ltd.",0.535,0.554,11,-8.672,1,0.0792,0.263,0.904,0.105,0.512,131.226,4
spotify:track:2WuK1opHQzRo18YXCtY2DF,"Six Forty Seven","Six Forty Seven","Instupendo",2016-03-28,119990,1,false,,2023-12-30T00:38:02Z,"","599850 Records DK2",0.465,0.0263,1,-18.011,1,0.0491,0.909,0.517,0.0913,0.113,144.001,3
spotify:track:5RBOcBpJXaNnHCGViJmYhh,"The Perfect Girl","The Perfect Girl","Mareux",2021-12-08,194423,76,false,,2023-12-30T00:37:44Z,"darkwave,cold wave","Revolution Records",0.485,0.89,8,-5.992,0,0.0911,0.000872,0.818,0.102,0.258,128.881,4
spotify:track:7CiDwKE62N6ey3LyG6s7xc,"In My Room","In My Room","Chance Peña",2022-05-06,177609,76,false,,2023-12-30T00:36:50Z,"","Chance Peña",0.408,0.338,4,-13.626,1,0.0431,0.521,0.000639,0.0732,0.1,133.943,3
spotify:track:0qOCy2LqvdkMora7eZsJhQ,"From the Subway Train","Angel Youth","Vansire",2018-04-26,57370,65,false,,2023-12-30T00:36:39Z,"bedroom pop","Vansire",0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,4
spotify:track:4LIM4qmpHABufePRrLWbiM,"QKThr","Drukqs","Aphex Twin",2001-10-22,87466,63,false,,2023-12-30T00:36:35Z,"idm,ambient,electronica","Warp Records",0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,79.042,3
